Province/State,Week Ending,Unit Sales
Idaho ,02-16-20,28854.859
Idaho ,02-23-20,28117.79945
Idaho ,03-01-20,40837.60477
Idaho ,03-08-20,78622.23939
Idaho ,03-15-20,120934.1816
Idaho ,03-22-20,64642.0934
Illinois ,12-08-19,281585.0509
Illinois ,12-15-19,266385.6866
Illinois ,12-22-19,260420.4599
Illinois ,12-29-19,256850.9934
Illinois ,01-05-20,267029.3032
Illinois ,01-12-20,267290.943
Illinois ,01-19-20,247696.0362
Illinois ,01-26-20,242815.9932
Illinois ,02-02-20,273756.2224
Illinois ,02-09-20,284681.5054
Illinois ,02-16-20,266979.8808
Illinois ,02-23-20,273195.7726
Illinois ,03-01-20,373969.4309
Illinois ,03-08-20,614398.6669
Illinois ,03-15-20,1141392.0829999999
Illinois ,03-22-20,773999.1452
Indiana ,12-08-19,153112.9932
Indiana ,12-15-19,148176.3166
Indiana ,12-22-19,145366.5493
Indiana ,12-29-19,147417.745
Indiana ,01-05-20,137163.5186
Indiana ,01-12-20,157991.0185
Indiana ,01-19-20,141669.6416
Indiana ,01-26-20,131527.5171
Indiana ,02-02-20,142188.2039
Indiana ,02-09-20,149303.5816
Indiana ,02-16-20,151036.1499
Indiana ,02-23-20,151554.9769
Indiana ,03-01-20,178903.5496
Indiana ,03-08-20,291504.5242
Indiana ,03-15-20,601248.4042
Indiana ,03-22-20,447013.9984
Kansas ,12-08-19,61988.55469
Kansas ,12-15-19,59340.084070000004
Kansas ,12-22-19,57125.40896
Kansas ,12-29-19,58044.14532999999
Kansas ,01-05-20,57481.78679
Kansas ,01-12-20,70206.84043
Kansas ,01-19-20,53269.01845
Kansas ,01-26-20,55850.54827000001
Kansas ,02-02-20,59941.121739999995
Kansas ,02-09-20,63885.26662
Kansas ,02-16-20,61644.195660000005
Kansas ,02-23-20,61340.870279999996
Kansas ,03-01-20,75864.28942999999
Kansas ,03-08-20,124372.3896
Kansas ,03-15-20,241525.9941
Kansas ,03-22-20,182526.0877
Kentucky ,12-08-19,103081.0057
Kentucky ,12-15-19,100184.3195
Kentucky ,12-22-19,99739.50448999999
Kentucky ,12-29-19,97153.04506
Kentucky ,01-05-20,98875.45486
Kentucky ,01-12-20,117939.478
Kentucky ,01-19-20,93681.38884
Kentucky ,01-26-20,94956.33542999999
Kentucky ,02-02-20,106273.6531
Kentucky ,02-09-20,109306.6937
Kentucky ,02-16-20,109129.4473
Kentucky ,02-23-20,107673.0878
Kentucky ,03-01-20,129209.7642
Kentucky ,03-08-20,228436.7558
Kentucky ,03-15-20,466373.4555
Kentucky ,03-22-20,306184.5526
Louisiana ,12-08-19,84716.11197
Louisiana ,12-15-19,79262.00287000001
Louisiana ,12-22-19,80991.59816000001
Louisiana ,12-29-19,88507.17778
Louisiana ,01-05-20,79785.77155
